word,reading,meaning
ますます,,increasingly; more and more
せっかく,,with much trouble; specially
一家,いっか,family; household
ありがたい,,grateful; appreciated
向き合い,むきあい,facing each other; confronting
つくづく「と」,,deeply; keenly
養う,やしなう,support; raise; cultivate
役目,やくめ,role; duty
甘える,あまえる,depend on someone's kindness; act spoiled
世間知らず,せけんしらず,naive about the world
しつけ,,discipline; upbringing
言いつける,いいつける,order; tell someone to do
自立する,じりつする,become independent
言い出す,いいだす,start to say; bring up
意思,いし,intention; will
尊重する,そんちょうする,respect; value
説得する,せっとくする,persuade
納得する,なっとくする,understand; be convinced
逆らう,さからう,go against; disobey
反省する,はんせいする,reflect; repent
放っておく,ほうっておく,leave alone; neglect
介護する,かいごする,provide nursing care
ホームヘルパー,,home helper; caregiver
世代,せだい,generation
継ぐ,つぐ,inherit; take over
妊娠する,にんしんする,become pregnant
出産する,しゅっさんする,give birth
産む,うむ,give birth to
高学歴,こうがくれき,highly educated
高学年,こうがくねん,upper grades
高収入,こうしゅうにゅう,high income
高性能,こうせいのう,high performance
高気圧,こうきあつ,high atmospheric pressure
高血圧,こうけつあつ,high blood pressure
友人,ゆうじん,friend
仲,なか,relationship; closeness
縁,えん,connection; bond; fate
ニックネーム,,nickname
大半,たいはん,majority; more than half
恵まれる,めぐまれる,be blessed with; be fortunate
頼る,たよる,rely on; depend on
頼もしい,たのもしい,reliable; reassuring
見習う,みならう,follow someone's example; learn by observing
打ち明ける,うちあける,confide; reveal
励ます,はげます,encourage
あえて,,dare to; deliberately
なぐさめる,,comfort; console
察する,さっする,guess; sense; infer
思いやり,おもいやり,thoughtfulness; consideration
何気ない,なにげない,casual; innocent
からかう,,tease; make fun of
幹事,かんじ,organizer; person in charge
呼び出す,よびだす,call out; summon
盛り上がる,もりあがる,get excited; liven up
あくれる,,be appalled; be astonished
ふざける,,mess around; fool around
久しい,ひさしい,long; long-standing
初対面,しょたいめん,first meeting
自己紹介,じこしょうかい,self-introduction
おじぎする,,bow
近所付き合い,きんじょづきあい,neighborhood relations
大家,おおや,landlord; landlady
飼い主,かいぬし,owner of a pet
交わす,かわす,exchange
呼び止める,よびとめる,call out to stop
振り返る,ふりかえる,turn around; look back
再会する,さいかいする,meet again; reunite
覚え,おぼえ,memory; recollection
心当たり,こころあたり,clue; reason to know
結びつく,むすびつく,be connected; be linked
とっさ「に」,,instantly; on the spur of the moment
てっきり,,firmly believing; surely
思い込む,おもいこむ,assume; be convinced
コミュニケーション,,communication
ネットワーク,,network
直接,ちょくせつ,directly; direct
接する,せっする,come into contact with; interact with
招く,まねく,invite; cause
気配りする,きくばりする,be considerate; pay attention
込める,こめる,put into; infuse with
同期,どうき,same intake; same period
ぐち,,complaint; grumble
大いに,おおいに,greatly; a lot
低預金,ていよきん,low savings; low deposits
低学年,ていがくねん,lower grades
低血圧,ていけつあつ,low blood pressure
低姿勢,ていしせい,humble attitude
低次元,ていじげん,low level; low dimension
低レベル,ていレベル,low level
カップル,,couple
愛,あい,love
同士,どうし,fellow; each other
「お」互い「に」,おたがいに,each other; mutually
つり合い,,balance; match
むしろ,,rather; instead
いわば,,so to speak; as it were
視線,しせん,gaze; line of sight
見つめる,みつめる,stare at; gaze at
そらす,,avert; turn away
ちらっと,,briefly; at a glance
もしかすると,,possibly; perhaps
探る,さぐる,probe; sound out
示す,しめす,show; indicate
口実,こうじつ,excuse; pretext
うつむく,,look down; hang one's head
こそこそする,,sneak around; act secretly
ささやく,,whisper
禁物,きんもつ,taboo; something to be avoided
許す,ゆるす,forgive; permit
合コン,ごうコン,group blind date; mixer
アプローチする,,approach; make advances
運命,うんめい,fate; destiny
決意する,けついする,resolve; decide firmly
プロポーズする,,propose marriage
誓う,ちかう,swear; vow
花嫁,はなよめ,bride
好印象,こういんしょう,good impression
好条件,こうじょうけん,favorable conditions
好成績,こうせいせき,good results; excellent performance
好景気,こうけいき,economic boom
好人物,こうじんぶつ,person of good character
好都合,こうつごう,convenient; favorable
悪条件,あくじょうけん,unfavorable conditions
悪趣味,あくしゅみ,bad taste
悪影響,あくえいきょう,bad influence
悪習慣,あくしゅうかん,bad habit
悪循環,あくじゅんかん,vicious cycle
悪知恵,わるぢえ,cunning; crafty idea
悪酔い,わるよい,get drunk badly; feel sick from alcohol
悪ふざけ,わるふざけ,bad prank; horseplay
ささいな,,trivial; minor
避ける,さける,avoid
誤解する,ごかいする,misunderstand
勘違いする,かんちがいする,misunderstand; be mistaken
言い訳する,いいわけする,make excuses
きっぱり「と」,,clearly; decisively
ばかにする,,make fun of; belittle
いやみな,,sarcastic; snide
責める,せめる,blame; criticize
けなす,,disparage; speak ill of
だまる,,keep silent; shut up
にらむ,,glare at
裏切る,うらぎる,betray
だます,,deceive; cheat
せい,,fault; because of
行為,こうい,act; conduct
口論する,こうろんする,argue; quarrel
怒鳴る,どなる,shout; yell
殴る,なぐる,hit; punch
貸し借りする,かしかりする,lend and borrow
ばらす,,reveal; spill; blab
気まずい,きまずい,awkward; uncomfortable
今さら,いまさら,now after all this time; too late now
台無し,だいなし,ruined; spoiled
うらむ,,resent; bear a grudge
追い出す,おいだす,drive out; kick out
仲間外れ,なかまはずれ,being left out; ostracism
あいつ,,that guy; he; she
他人,たにん,other person; stranger
名案,めいあん,brilliant idea
名作,めいさく,masterpiece
名画,めいが,famous painting
名曲,めいきょく,famous musical piece
名所,めいしょ,famous place
名人,めいじん,master; expert
名産,めいさん,famous product; local specialty
名医,めいい,skilled doctor
名文,めいぶん,fine piece of writing
名著,めいちょ,famous book
名声,めいせい,fame
名場面,めいばめん,famous scene
名女優,めいじょゆう,famous actress
要因,よういん,factor; cause
理論,りろん,theory
立場,たちば,position; standpoint
量,りょう,quantity; amount
ゆっくり,,slowly
そのまま,,as it is; unchanged
もちろん,,of course; certainly
なるほど,,I see; indeed
一人住まい,ひとりずまい,living alone
賃貸,ちんたい,rental; lease
敷金,しききん,security deposit
更新する,こうしんする,renew
ローン,,loan
決まり,きまり,rule; arrangement
一戸建て,いっこだて,detached house
マイホーム,,one's own home
我が家,わがや,one's home
家屋,かおく,house; building
屋根,やね,roof
洗面所,せんめんじょ,washroom; bathroom sink area
物置,ものおき,storage room; shed
間取り,まどり,floor plan; layout
空間,くうかん,space
奥,おく,back; inner part
手前,てまえ,front; near side
南向き,みなみむき,south-facing
温もり,ぬくもり,warmth
頑丈な,がんじょうな,sturdy; solid
点検する,てんけんする,inspect; check
停止する,ていしする,stop; suspend
物音,ものおと,sound; noise
防犯,ぼうはん,crime prevention; security
ぞっとする,,shudder; be horrified
警備する,けいびする,guard; provide security
新築する,しんちくする,build new; newly construct
収入,しゅうにゅう,income
ごく,,very; extremely
せいぜい,,at most; to the utmost
出費する,しゅっぴする,spend; incur expenses
赤字,あかじ,deficit; in the red
大金,たいきん,large sum of money
税金,ぜいきん,tax
納める,おさめる,pay; remit
含む,ふくむ,include; contain
公共料金,こうきょうりょうきん,utility charges
払い込む,はらいこむ,pay in; transfer payment
引き落とし,ひきおとし,direct debit; withdrawal
手数料,てすうりょう,handling fee; commission
出し入れする,だしいれする,deposit and withdraw; put in and take out
高くつく,たかくつく,cost a lot
残高,ざんだか,balance
せっせと,,diligently; busily
大まかな,おおまかな,rough; approximate
差し引く,さしひく,deduct; subtract
務める,つとめる,serve as; perform duties
立て替える,たてかえる,pay in advance for someone
援助する,えんじょする,assist; support
返済する,へんさいする,repay
安定する,あんていする,stabilize; be stable
教育費,きょういくひ,education expenses
学費,がくひ,school expenses; tuition
会費,かいひ,membership fee
食費,しょくひ,food expenses
交際費,こうさいひ,social expenses; entertainment expenses
住居費,じゅうきょひ,housing expenses
光熱費,こうねつひ,utility expenses
生活費,せいかつひ,living expenses
人件費,じんけんひ,labor costs
医療費,いりょうひ,medical expenses
好き嫌い,すききらい,likes and dislikes; picky eating
好物,こうぶつ,favorite food
飽きる,あきる,get tired of
物足りない,ものたりない,unsatisfying; not enough
ボリューム,,volume; portion
一口,ひとくち,one bite; mouthful
かじる,,nibble; bite
ひとたび,,once; once it happens
うまい,,delicious; skillful
いける,,good; acceptable; tasty
渋い,しぶい,astringent; subdued
くどい,,too rich; too strong; repetitive
ファミレス,,family restaurant
フルコース,,full course meal
オーダーする,,order
催促する,さいそくする,demand; urge; press for
会計する,かいけいする,pay the bill
バイキング,,buffet
トレイ,,tray
器,うつわ,bowl; container; dish
重ねる,かさねる,stack; pile up
ずらり「と」,,in a row; lined up
主食,しゅしょく,staple food
生,なま,raw; fresh
生物,なまもの,raw food; perishable food
特性,とくせい,characteristic; property
粗末な,そまつな,poor; crude; meager
電話代,でんわだい,telephone bill
部屋代,へやだい,room charge
電気代,でんきだい,electricity bill
バイト代,バイトだい,part-time wages
バス代,バスだい,bus fare
電車代,でんしゃだい,train fare
食事代,しょくじだい,meal cost
品代,しなだい,price of goods
購入する,こうにゅうする,purchase
「お」買い得,おかいどく,bargain; good buy
手頃な,てごろな,reasonable; suitable
値引きする,ねびきする,discount; reduce the price
おまけする,,throw in extra; give a discount
返品する,へんぴんする,return goods
返金する,へんきんする,refund
価格,かかく,price
高価な,こうかな,expensive; high-priced
金額,きんがく,amount of money
価値,かち,value
品質,ひんしつ,quality
消費税,しょうひぜい,consumption tax
オークション,,auction
名物,めいぶつ,famous product; specialty
取り寄せる,とりよせる,order from elsewhere
扱う,あつかう,handle; deal in
買い替える,かいかえる,replace by buying new
買い換える,かいかえる,replace; exchange for a new one
売り出す,うりだす,put on sale
チラシ,,flyer; leaflet
切り取る,きりとる,cut out
パックする,,pack
包装する,ほうそうする,wrap; package
試食する,ししょくする,sample food
試着する,しちゃくする,try on
割合「に」,わりあいに,relatively; rather
ダブる,,duplicate; overlap
よす,,stop; give up
わりと,,relatively; fairly
実物,じつぶつ,real thing; actual item
粒,つぶ,grain; piece
スペース,,space
現在,げんざい,present; now
過去,かこ,past
年月,としつき,years; passage of time
月日,つきひ,time; days and months
日時,にちじ,date and time
今日,きょう,today
年代,ねんだい,age; era
年間,ねんかん,yearly; over a year
年中,ねんじゅう,all year round; always
本年,ほんねん,this year
日中,にっちゅう,daytime
夜間,やかん,nighttime
ただ今,ただいま,now; at present
先ほど,さきほど,a little while ago
近々,ちかぢか,before long; soon
後日,ごじつ,later; at a later date
やがて,,before long; soon
いずれ,,eventually; one day
今後,こんご,from now on; in the future
すでに,,already
あらかじめ,,in advance
従来,じゅうらい,up to now; conventional
あくる〜,,next; following
一時,いちじ,temporary time; for a while
一生,いっしょう,lifetime; whole life
永遠に,えいえんに,forever; eternally
使用料,しようりょう,usage fee
保険料,ほけんりょう,insurance premium
授業料,じゅぎょうりょう,tuition
サービス料,サービスりょう,service charge
送料,そうりょう,shipping fee
手数料,てすうりょう,handling fee; commission
入場料,にゅうじょうりょう,admission fee
レンタル料,レンタルりょう,rental fee
家賃,やちん,rent
運賃,うんちん,fare; freight charge
電車賃,でんしゃちん,train fare
街,まち,town; city streets
都市,とし,city; urban area
下町,したまち,old downtown area
土地,とち,land; plot
活気,かっき,vitality; liveliness
人通り,ひとどおり,pedestrian traffic
絶える,たえる,cease; die out
坂,さか,slope; hill
辺り,あたり,area; vicinity
付近,ふきん,nearby area; vicinity
住宅,じゅうたく,house; residence
地区,ちく,district; area
エリア,,area
中間,ちゅうかん,middle; midway point
境,さかい,boundary; border
斜めな,ななめな,slanted; diagonal
抽選する,ちゅうせんする,draw lots; hold a lottery
避難する,ひなんする,evacuate; take refuge
訓練する,くんれんする,train; practice
見回る,みまわる,patrol; look around
築く,きずく,build; establish
見当,けんとう,estimate; idea
落書きする,らくがきする,graffiti; doodle
強化する,きょうかする,strengthen; reinforce
今世紀,こんせいき,this century
今年度,こんねんど,this fiscal year; this academic year
今学期,こんがっき,this semester
今大会,こんたいかい,this tournament
現時点,げんじてん,present point in time
現段階,げんだんかい,current stage
現住所,げんじゅうしょ,current address
現物,げんぶつ,actual item; actual thing
現品,げんぴん,actual article; goods on hand
自治体,じちたい,local government; municipality
知事,ちじ,governor
応える,こたえる,respond to; meet
住民,じゅうみん,resident
身分証明書,みぶんしょうめいしょ,ID; identification document
生年月日,せいねんがっぴ,date of birth
署名する,しょめいする,sign
修正する,しゅうせいする,correct; revise
年金,ねんきん,pension
施設,しせつ,facility
ロッカー,,locker
建築する,けんちくする,construct; build
リニューアルする,,renew; remodel
近づける,ちかづける,bring closer
福祉,ふくし,welfare
年度,ねんど,fiscal year; academic year
交替する,こうたいする,change places; take turns
収集する,しゅうしゅうする,collect; gather
配布する,はいふする,distribute
処理する,しょりする,process; handle
需要,じゅよう,demand
提供する,ていきょうする,provide; offer
用途,ようと,use; purpose
新学期,しんがっき,new semester; new term
新入学,しんにゅうがく,new school enrollment
新入生,しんにゅうせい,new student; freshman
新体制,しんたいせい,new system; new structure
新記録,しんきろく,new record
新世界,しんせかい,new world
新体操,しんたいそう,rhythmic gymnastics
新天地,しんてんち,new place; new frontier
新生児,しんせいじ,newborn baby
故郷,こきょう,hometown; birthplace
地元,じもと,local area; hometown
離れる,はなれる,leave; be separated from
つかむ,,grasp; seize
帰省する,きせいする,go back to one's hometown
アクセスする,,access
改善する,かいぜんする,improve
行事,ぎょうじ,event; function
はるかな,,faraway; distant
誇り,ほこり,pride
載る,のる,appear in; be published
宣伝する,せんでんする,advertise; promote
作成する,さくせいする,create; prepare
見慣れる,みなれる,get used to seeing
近郊,きんこう,suburbs; outskirts
描く,えがく,draw; depict
若者,わかもの,young person; youth
Uターンする,ユーターンする,make a U-turn; return to one's hometown
行き来する,いききする,come and go
担う,になう,bear; shoulder; play a role
再利用,さいりよう,reuse
再開発,さいかいはつ,redevelopment
再発見,さいはっけん,rediscovery
再試験,さいしけん,retest; reexamination
再検討,さいけんとう,reconsideration; review
再認識,さいにんしき,renewed recognition
再出発,さいしゅっぱつ,fresh start; restart
再放送,さいほうそう,rebroadcast; rerun
再生産,さいせいさん,reproduction; reproduce
行き先,ゆきさき,destination
方面,ほうめん,direction; area
行き帰り,いきかえり,going and returning; round trip
横断する,おうだんする,cross; go across
通行する,つうこうする,pass through; travel along
歩行者,ほこうしゃ,pedestrian
絶えず,たえず,constantly; continually
手段,しゅだん,means; method
公共,こうきょう,public
運賃,うんちん,fare; freight charge
つかまる,,grab onto; be caught
アナウンスする,,announce
見合わせる,みあわせる,postpone; refrain from
乱れる,みだれる,be disturbed; get乱 of order
再会する,さいかいする,meet again; reunite
ICカード,アイシーカード,IC card; smart card
免許,めんきょ,license; permit
左右,さゆう,left and right; influence
直線,ちょくせん,straight line
なだらかな,,gentle; gradual
間隔,かんかく,interval; space
スムーズな,,smooth
指す,さす,point to; indicate
のろのろ,,slowly; sluggishly
ぐるぐる「と」,,round and round
パンクする,,get a flat tire; burst
慎重な,しんちょうな,careful; prudent
気を抜く,きをぬく,let one's guard down; relax
生産する,せいさんする,produce; manufacture
供給する,きょうきゅうする,supply; provide
栽培する,さいばいする,cultivate; grow
農家,のうか,farmer; farm household
作物,さくもつ,crop
漁業,ぎょぎょう,fishing industry; fishery
栄える,さかえる,prosper; flourish
普及する,ふきゅうする,spread; become widespread
急増する,きゅうぞうする,increase rapidly; surge
情緒,じょうちょ,atmosphere; emotional appeal
向上する,こうじょうする,improve; rise
構成する,こうせいする,constitute; compose
重視する,じゅうしする,place importance on
提案する,ていあんする,suggest; propose
検討する,けんとうする,consider; examine
不可欠な,ふかけつな,indispensable; essential
妨げる,さまたげる,hinder; obstruct
生える,はえる,grow; sprout
著しい,いちじるしい,remarkable; striking
参考,さんこう,reference; consultation
リスク,,risk
現地,げんち,local site; on-site
夜明け,よあけ,dawn; daybreak
起床する,きしょうする,get up; rise
もたれる,,lean against; feel heavy in the stomach
フレッシュな,,fresh
乳製品,にゅうせいひん,dairy products
洗い物,あらいもの,washing up; dishes
欠かす,かかす,omit; fail to do regularly
配達する,はいたつする,deliver
見出し,みだし,headline; heading
一切（〜ない）,いっさい,(not) at all; not any
合間,あいま,interval; spare moment
てきぱき「と」する,,work briskly; act efficiently
間,ま,space; interval
周辺,しゅうへん,surrounding area
周囲,しゅうい,surroundings
あと,,after; later; remainder
すれ違う,,pass by each other
はう,,crawl
替える,かえる,replace; change
整える,ととのえる,arrange; put in order
ろくに（〜ない）,,not properly; hardly
めりはり,,contrast; rhythm
何度も,なんども,many times; again and again
ほぼ,,almost; nearly
寄り道する,よりみちする,make a detour; stop somewhere on the way
食物,しょくもつ,food
換気する,かんきする,ventilate
いったん,,once; for the moment
物干し,ものほし,clothesline; drying rack
食卓,しょくたく,dining table
後回し,あとまわし,putting off; postponement
削る,けずる,cut down; shave off
かなえる,,fulfill; realize
調節する,ちょうせつする,adjust; regulate
ゆったり「と」する,,relax; feel comfortable
売り買いする,うりかいする,buy and sell; trade
思い浮かべる,おもいうかべる,recall; picture in one's mind
独り言,ひとりごと,talking to oneself; monologue
風呂場,ふろば,bathroom; bath area
かぐ,,smell; sniff
寝つき,ねつき,ability to fall asleep; sleep onset
用心する,ようじんする,be careful; take care
メッセージ,,message
炊事する,すいじする,cook; do kitchen work
献立,こんだて,menu
リクエストする,,request
流し,ながし,sink
ちぎる,,tear off
冷ます,さます,let cool
煮える,にえる,be cooked; boil
味付けする,あじつけする,season; flavor
薄める,うすめる,dilute; weaken
甘み,あまみ,sweetness
工夫する,くふうする,devise; make an effort
添える,そえる,add; garnish; accompany
挟む,はさむ,put between; sandwich
加減する,かげんする,adjust; moderate
固まる,かたまる,harden; become solid
なめる,,lick
臭い,くさい,smelly; stinky
冷める,さめる,cool down; lose heat
余分な,よぶんな,extra; excessive
容器,ようき,container
賞味期限,しょうみきげん,best-before date
手作り,てづくり,handmade; homemade
もてなす,,entertain; treat a guest
もれる,,leak; be omitted
ごちゃごちゃ,,messy; cluttered; confused
元,もと,origin; base; original state
自動的な,じどうてきな,automatic
さっと,,quickly; in one go
清掃する,せいそうする,clean; sweep
取り除く,とりのぞく,remove
素材,そざい,material; ingredient
表示する,ひょうじする,display; indicate
分類する,ぶんるいする,classify
すすぐ,,rinse
ネット,,net
吸収する,きゅうしゅうする,absorb
泥,どろ,mud
知恵,ちえ,wisdom; ingenuity
可燃ごみ,かねんごみ,burnable garbage
資源ごみ,しげんごみ,recyclable garbage
粗大ごみ,そだいごみ,oversized garbage
古新聞,ふるしんぶん,old newspapers
分別,ぶんべつ,sorting; separation
ゴミ袋,ゴミぶくろ,garbage bag
生臭い,なまぐさい,fishy-smelling; raw-smelling
大小,だいしょう,large and small; size
しゃぶる,,suck
おむつ,,diaper
双子,ふたご,twins
衣類,いるい,clothing
入れ替える,いれかえる,replace; switch
狂う,くるう,go wrong; get out of order
家庭用,かていよう,for home use
自宅用,じたくよう,for home use
外出用,がいしゅつよう,for going out
婦人用,ふじんよう,for women
女性用,じょせいよう,for women
男性用,だんせいよう,for men
大人用,おとなよう,for adults
子供用,こどもよう,for children
公用,こうよう,official use
私用,しよう,personal use
処分する,しょぶんする,dispose of
不用品,ふようひん,unwanted items
はがす,,peel off
束,たば,bundle
しばる,,tie; bind
段ボール,だんボール,cardboard box; corrugated cardboard
ガムテープ,,packing tape
押し込む,おしこむ,push into; cram in
リスト,,list
引っ掛かる,ひっかかる,get caught; snag
持ち上げる,もちあげる,lift
担ぐ,かつぐ,carry on one's shoulder
くたびれる,,get tired; become worn out
すき間,すきま,gap; space
中身,なかみ,contents
さっさとする,,do quickly; get it over with
つるす,,hang
まさに,,exactly; truly
居心地,いごこち,comfort; feel of a place
一変する,いっぺんする,change completely
アンテナ,,antenna
いっそ,,rather; might as well
子供向き,こどもむき,suitable for children
高齢者向き,こうれいしゃむき,suitable for elderly people
老人向き,ろうじんむき,suitable for old people
独身向き,どくしんむき,suitable for single people
単身者向き,たんしんしゃむき,suitable for people living alone
子供向け,こどもむけ,intended for children
若者向け,わかものむけ,aimed at young people
学生向け,がくせいむけ,for students
女性向け,じょせいむけ,for women
男性向け,だんせいむけ,for men
主婦向け,しゅふむけ,for housewives
OL向け,OLむけ,for office ladies
国内向け,こくないむけ,for domestic market
外国人向け,がいこくじんむけ,for foreigners
海外向け,かいがいむけ,for overseas market
教わる,おそわる,be taught; learn from
願書,がんしょ,application form
推薦する,すいせんする,recommend
狙う,ねらう,aim at; target
意志,いし,will; intention
開始,かいし,start; beginning
開始する,かいしする,start; begin
通常,つうじょう,usual; normal
担任する,たんにんする,be in charge of a class
受け持つ,うけもつ,be in charge of; take responsibility for
委員,いいん,committee member
なじむ,,get used to; fit in
充実する,じゅうじつする,be fulfilling; become enriched
高等な,こうとうな,advanced; higher-level
ステップ,,step
過程,かてい,process; course
取り上げる,とりあげる,take up; adopt
欠ける,かける,lack; be missing
優秀な,ゆうしゅうな,excellent; outstanding
終了する,しゅうりょうする,finish; end
ふさわしい,,suitable; appropriate
認識する,にんしきする,recognize; be aware of
語学学校,ごがくがっこう,language school
責任感,せきにんかん,sense of responsibility
一体感,いったいかん,sense of unity
親近感,しんきんかん,feeling of closeness
満足感,まんぞくかん,feeling of satisfaction
安心感,あんしんかん,sense of security
不安感,ふあんかん,feeling of anxiety
幸福感,こうふくかん,sense of happiness
学ぶ,まなぶ,learn; study
学習する,がくしゅうする,study; learn
学力,がくりょく,academic ability
教養,きょうよう,culture; education
参考書,さんこうしょ,reference book; study guide
書き込む,かきこむ,write in; fill in
書き取る,かきとる,write down; take dictation
記号,きごう,symbol; mark
図,ず,figure; diagram
下線,かせん,underline
法則,ほうそく,rule; law
志す,こころざす,aspire to; aim for
徹夜する,てつやする,stay up all night
上達する,じょうたつする,improve; make progress
こつこつ「と」,,steadily; diligently
地道な,じみちな,steady; painstaking
根気,こんき,patience; perseverance
効率的な,こうりつてきな,efficient
旺盛な,おうせいな,vigorous; strong
基礎,きそ,foundation; basics
基本,きほん,basics; foundation
除く,のぞく,exclude; remove
現状,げんじょう,present condition; current state
おろそかな,,negligent; careless
可能な,かのうな,possible
実現する,じつげんする,realize; achieve
混同する,こんどうする,confuse; mix up
複数,ふくすう,multiple; plural
活用する,かつようする,make use of; utilize
挑戦する,ちょうせんする,challenge; take on
範囲,はんい,range; scope
パターン,,pattern
あらゆる,,all kinds of; every
課題,かだい,task; issue
段落,だんらく,paragraph
箇所,かしょ,place; part
用紙,ようし,sheet of paper; form
応用する,おうようする,apply; put to practical use
選択する,せんたくする,select; choose
当てはまる,,apply; fit
述べる,のべる,state; mention
言い換える,いいかえる,rephrase; say in other words
考え込む,かんがえこむ,think deeply; brood
限る,かぎる,limit; restrict
紛らわしい,まぎらわしい,confusing; misleading
さっぱり（〜ない）,,not at all
勘,かん,intuition; hunch
